status,state,city,street,last_checked,longitude,latitude,scraped_datetime
inactive,AZ,Gold Canyon,7138 E Us Highway 60,9/22/2022 14:42,-111.467266,33.358539,9/22/2022 17:00
working,AZ,Tucson,6651 E Tanque Verde Rd,9/22/2022 14:42,-110.850451,32.248199,9/22/2022 17:00
working,AZ,Tucson,5640 N Swan,9/22/2022 14:41,-110.892167,32.309478,9/22/2022 17:00
broken,AZ,Oro Valley,10795 N Oracle Rd,9/22/2022 14:41,-110.954808,32.401414,9/22/2022 17:00
working,AZ,Tucson,7090 E. 22nd Street,9/22/2022 14:42,-110.84138,32.205868,9/22/2022 17:00
working,AZ,Tucson,9090 S Houghton Road,9/22/2022 14:42,-110.773417,32.086799,9/22/2022 17:00
working,AZ,Tucson,9130 E Valencia Road,9/22/2022 14:41,-110.798084,32.118593,9/22/2022 17:00
working,AZ,Tucson,6102 E Broadway Blvd,9/22/2022 14:41,-110.861986,32.222043,9/22/2022 17:00
working,AZ,Tucson,3315 N Swan,9/22/2022 14:42,-110.893135,32.267046,9/22/2022 17:00
inactive,AZ,Tucson,5870 E Broadway Blvd,6/6/2022 14:01,-110.865365,32.219318,9/22/2022 17:00
working,AZ,Tucson,5445 E Speedway Blvd,9/22/2022 14:41,-110.87666,32.236738,9/22/2022 17:00
working,ID,Kellogg,820 W Cameron,9/22/2022 14:41,-116.133468,47.547418,9/22/2022 17:00
working,AZ,Apache Junction,2383 W Apache Trl,9/22/2022 14:42,-111.571574,33.414737,9/22/2022 17:00
working,AZ,Tucson,2525 S Craycroft,9/22/2022 14:41,-110.874625,32.193522,9/22/2022 17:00
working,AZ,Tucson,292 W Mcgee,9/22/2022 14:41,-110.973939,32.352264,9/22/2022 17:00
broken,AZ,Tucson,3856 E Speedway Blvd,9/22/2022 14:41,-110.910214,32.235722,9/22/2022 17:00
working,AZ,Florence,801 N Highway 79,9/22/2022 14:42,-111.378565,33.038809,9/22/2022 17:00
broken,AZ,Tucson,3232 N Campbell Ave,9/22/2022 14:41,-110.943329,32.265743,9/22/2022 17:00
working,AZ,Marana,3640 W Tangerine Road,9/22/2022 14:41,-111.043049,32.424595,9/22/2022 17:00
working,AZ,Tucson,3310 E 22nd St,9/22/2022 14:41,-110.921247,32.206701,9/22/2022 17:00
inactive,AZ,Mesa,1606 S Signal Butte Rd Wm#3833,9/13/2022 6:50,-111.60051,33.384928,9/22/2022 17:00
broken,AZ,Tucson,1711 E Speedway Blvd,9/22/2022 14:41,-110.946083,32.236405,9/22/2022 17:00
working,AZ,Tucson,4495 N Oracle Rd,9/22/2022 14:41,-110.978756,32.287888,9/22/2022 17:00
inactive,AZ,Fountain Hills,16936 E Shea,7/7/2021 16:07,-111.714438,33.574154,9/22/2022 17:00
inactive,AZ,Mayer,19601 E Cordes Lake Road,7/8/2021 7:16,-112.119695,34.326371,9/22/2022 17:00
inactive,AZ,Mesa,2751 S Signal Butte Rd,7/7/2021 16:07,-111.600676,33.36536,9/22/2022 17:00
inactive,AZ,Tucson,801 E Grant,7/7/2021 16:09,-110.959952,32.250943,9/22/2022 17:00
working,AZ,Mesa,9145 E Apache Trail,9/22/2022 14:41,-111.633479,33.414699,9/22/2022 17:00
working,AZ,Tucson,3800 W Lindavista Blvd,9/22/2022 14:41,-111.047704,32.381407,9/22/2022 17:00
working,AZ,Tucson,5225 S Palo Verde,9/22/2022 14:41,-110.917003,32.157222,9/22/2022 17:00
working,NV,Wells,157 Highway 93 South,9/22/2022 14:41,-114.960064,41.099118,9/22/2022 17:00
working,AZ,Tucson, 2130 West River Road,9/22/2022 14:41,-111.012827,32.3057,9/22/2022 17:00
working,AZ,Mesa,2035 S Ellsworth,9/22/2022 14:41,-111.63551,33.378209,9/22/2022 17:00
broken,AZ,Queen Creek,40523 N Gantzel Rd,9/22/2022 14:41,-111.562536,33.246988,9/22/2022 17:00
broken,AZ,Tucson,1059 E Tucson Marketplace Blvd,9/22/2022 14:41,-110.955853,32.187547,9/22/2022 17:00
working,AZ,Tucson,3105 E Valencia,9/22/2022 14:41,-110.92577,32.134498,9/22/2022 17:00
working,AZ,Mesa,6748 E Mckellips,9/22/2022 14:41,-111.684871,33.452314,9/22/2022 17:00
broken,AZ,Marana,3830 W Ina Rd,9/22/2022 14:41,-111.048392,32.33806,9/22/2022 17:00
working,AZ,South Tucson,1901 S 6th Ave,9/22/2022 14:41,-110.967953,32.199401,9/22/2022 17:00
working,AZ,Florence,3423 N Hunt Hwy,9/22/2022 14:41,-111.485577,33.06334,9/22/2022 17:00
broken,AZ,Tucson,2250 W Ironwood Hills,9/22/2022 14:41,-111.015198,32.251275,9/22/2022 17:00
working,UT,Washington City,W. Telegraph Street,9/22/2022 14:41,-113.521583,37.127608,9/22/2022 17:00
working,AZ,Marana,8280 N Cortaro Rd (W*M #5031),9/22/2022 11:40,-111.089338,32.356292,9/22/2022 17:00
working,AZ,Tucson,8349 N Cortaro Rd,9/22/2022 14:41,-111.091307,32.358515,9/22/2022 17:00
working,AZ,Mesa,1350 South Power Road,9/22/2022 14:41,-111.685354,33.390769,9/22/2022 17:00
working,AZ,Queen Creek,305 E Hunt Hwy,9/22/2022 14:41,-111.564326,33.161762,9/22/2022 17:00
working,AZ,Prescott Valley,7500 E Hwy 69,9/22/2022 14:41,-112.333591,34.585356,9/22/2022 17:00
working,AZ,Mesa,1158 N Higley,9/22/2022 14:41,-111.719613,33.436389,9/22/2022 17:00
working,AZ,Tucson,1187 W Irvington Rd,9/22/2022 14:41,-110.989124,32.162648,9/22/2022 17:00
inactive,AZ,Mesa,6131 E Southern Ave  Wm#1646,1/27/2022 22:20,-111.699135,33.391517,9/22/2022 17:00
working,AZ,Tucson,1785 W Ajo Way,9/22/2022 14:41,-111.002689,32.177424,9/22/2022 17:00
working,AZ,Tucson,540 W Valencia Rd,9/22/2022 14:41,-110.976964,32.134452,9/22/2022 17:00
broken,AZ,Queen Creek,20735 East Maya Road,9/22/2022 14:41,-111.63601,33.253759,9/22/2022 17:00
working,AZ,Chino Valley,1948 N Hwy 89,9/22/2022 14:41,-112.453364,34.774305,9/22/2022 17:00
working,UT,St. George,798 E Saint George Blvd,9/22/2022 14:41,-113.566623,37.109546,9/22/2022 17:00
working,AZ,Tucson,1650 W Valencia (Wm#1612),9/22/2022 14:41,-111.001262,32.136258,9/22/2022 17:00
working,AZ,Mesa,5255 S Power Road,9/22/2022 14:41,-111.686402,33.32028,9/22/2022 17:00
working,AZ,Scottsdale,11425 E Via Linda,9/22/2022 14:41,-111.835634,33.5892,9/22/2022 17:00
working,AZ,Gilbert,1536 N Higley Rd,9/22/2022 14:41,-111.722788,33.378185,9/22/2022 17:00
working,AZ,Mesa,1213 S Greenfield Rd,9/22/2022 14:41,-111.735914,33.393473,9/22/2022 17:00
working,AZ,Mesa,411 N Val Vista,9/22/2022 14:41,-111.75311,33.423154,9/22/2022 17:00
working,AZ,Scottsdale,18241 North Pima Road,9/22/2022 14:41,-111.886672,33.651993,9/22/2022 17:00
broken,AZ,Marana,13934 N Sandario Rd,9/22/2022 14:41,-111.216725,32.4593,9/22/2022 17:00
working,UT,St. George,1235 S Bluff,9/22/2022 14:41,-113.5844,37.08737,9/22/2022 17:00
working,AZ,Coolidge,900 N Arizona Blvd,9/22/2022 14:41,-111.524301,32.986264,9/22/2022 17:00
working,AZ,Tucson,2990 W Valencia,9/22/2022 14:41,-111.030982,32.134225,9/22/2022 17:00
working,AZ,Gilbert,4740 E Queen Creek Rd,9/22/2022 14:41,-111.687499,33.267135,9/22/2022 17:00
working,AZ,Scottsdale,15768 N Pima,9/22/2022 14:41,-111.892082,33.629201,9/22/2022 17:00
working,ID,Mountain Home,2840 American Legion Blvd,9/22/2022 14:41,-115.664387,43.136983,9/22/2022 17:00
working,AZ,Gilbert,821 N Val Vista Dr,9/22/2022 14:41,-111.755503,33.365103,9/22/2022 17:00
broken,AZ,Tucson,4960 W Ajo Hwy,9/22/2022 14:41,-111.071094,32.171993,9/22/2022 17:00
working,AZ,Mesa,1960 E Main,9/22/2022 14:41,-111.788635,33.415702,9/22/2022 17:00
broken,UT,St. George,1911 W Sunset Blvd,9/22/2022 14:41,-113.624195,37.122378,9/22/2022 17:00
working,AZ,Scottsdale,9251 E Shea Blvd,9/22/2022 14:41,-111.881705,33.581928,9/22/2022 17:00
working,AZ,Gilbert,774 S Val Vista Drive,9/22/2022 14:41,-111.756496,33.336324,9/22/2022 17:00
