status,state,city,street,last_checked,longitude,latitude,scraped_datetime
broken,MO,Blue Springs,920 W Hwy 40,2022-09-23 10:25:03,-94.276599,39.008768,2022-09-23 12:00:03
working,AR,Lake Village,1014 Highway 65,2022-09-23 10:22:03,-91.292575,33.323551,2022-09-23 12:00:03
working,MS,Moss Point,6724 Highway 63,2022-09-23 10:21:03,-88.526609,30.438864,2022-09-23 12:00:03
working,MO,Blue Springs,3116 S 7 Highway,2022-09-23 10:22:03,-94.272883,38.988237,2022-09-23 12:00:03
working,MN,Brainerd,505 Ne Washington St,2022-09-23 10:25:03,-94.181805,46.360511,2022-09-23 12:00:03
working,FL,Fort Myers,17800 Ben Hill Griffin Pky,2022-09-23 10:22:03,-81.784863,26.485232,2022-09-23 12:00:03
working,FL,Miramar,3306 S University Dr,2022-09-23 10:21:03,-80.247605,25.979326,2022-09-23 12:00:03
working,FL,Miramar,2351 Palm Ave,2022-09-23 10:22:03,-80.278405,25.987747,2022-09-23 12:00:03
working,FL,Sunny Isles Beach,17730 Collins Avenue,2022-09-23 10:25:03,-80.121811,25.940145,2022-09-23 12:00:03
working,FL,Cape Coral,1604 W Cape Coral Pky,2022-09-23 10:22:03,-82.007088,26.562235,2022-09-23 12:00:03
broken,FL,Miami,20101 Nw 2nd Ave,2022-09-23 10:21:03,-80.205359,25.958969,2022-09-23 12:00:03
broken,FL,Miami,18350 Ne 18th Rd,2022-09-23 10:22:03,-80.163891,25.945026,2022-09-23 12:00:03
inactive,IA,Estherville,2510 Central Ave,2022-03-04 00:33:03,-94.81045,43.398936,2022-09-23 12:00:03
working,MO,Blue Springs,1515 N Woods Chapel Rd,2022-09-23 10:22:03,-94.305959,39.033113,2022-09-23 12:00:03
working,FL,Pembroke Pines,18489 Pines Blvd,2022-09-23 10:21:03,-80.394906,26.008319,2022-09-23 12:00:03
working,AR,Pine Bluff,2908 E Harding,2022-09-23 10:22:03,-91.971662,34.20848,2022-09-23 12:00:03
inactive,FL,Pembroke Pines,151 Sw 184th Ave,2022-06-27 14:32:03,-80.389516,26.005706,2022-09-23 12:00:03
working,AR,North Little Rock,11001 Maumelle Blvd,2022-09-23 10:22:03,-92.383288,34.82588,2022-09-23 12:00:03
working,MN,Little Falls,104 Lemieur St,2022-09-23 10:21:03,-94.338144,45.974716,2022-09-23 12:00:03
working,AR,Little Rock,104 S University Ave,2022-09-23 10:22:03,-92.341719,34.751464,2022-09-23 12:00:03
inactive,MN,Avon,304 Blattner Drive,2022-06-16 05:34:03,-94.451999,45.605998,2022-09-23 12:00:03
working,MN,Brainerd,521 W Washington St,2022-09-23 10:22:03,-94.2182,46.356346,2022-09-23 12:00:03
